标本ID,日期,星期,采集时间,采集时段,来源科室/采血点,患者类型,标本类型,检验专业组,检验项目数,签收时间,前处理开始,前处理完成,前处理状态,前处理报错类型,前处理耗时_分钟,上机时间,报告时间,TAT_分钟,目标TAT_分钟,是否超时,前处理工位,仪器编号,操作人
S0803-00011,2026-08-03,周一,15:10,14-17,门诊采血中心,门诊,血清,免疫,7,15:34,15:39,15:44,正常,,5,15:46,16:19,69,120,否,前处理-B线,COAG-01,OP-102
S0803-00012,2026-08-03,周一,08:18,07-10 早高峰,内分泌科病区,住院,血清,凝血,1,08:54,08:57,09:10,正常,,13,09:13,10:02,104,120,否,前处理-手工台,MICRO-01,OP-101
S0803-00013,2026-08-03,周一,11:34,10-12,肾内科病区,住院,血清,生化,3,12:16,12:20,12:30,正常,,10,12:36,13:29,115,120,否,前处理-A线,BIO-01,OP-107
S0803-00014,2026-08-03,周一,16:42,14-17,急诊采血,急诊,血清,血液,4,17:06,17:12,17:20,正常,,8,17:28,18:23,101,60,是,前处理-B线,HEM-01,OP-103
S0803-00015,2026-08-03,周一,09:24,07-10 早高峰,心内科病区,住院,全血,生化,10,09:49,09:55,10:20,正常,,25,10:22,11:03,99,120,否,前处理-手工台,IMM-01,OP-106
S0803-00016,2026-08-03,周一,09:08,07-10 早高峰,ICU,住院,血清,生化,4,09:39,09:45,10:07,正常,,22,10:10,10:38,90,90,否,前处理-B线,IMM-01,OP-107
S0803-00017,2026-08-03,周一,15:02,14-17,体检中心,体检,血清,生化,11,15:17,15:22,15:29,正常,,7,15:36,15:57,55,240,否,前处理-手工台,IMM-02,OP-104
S0803-00018,2026-08-03,周一,07:07,07-10 早高峰,急诊采血,急诊,全血,免疫,15,07:16,07:20,07:34,正常,,14,07:38,08:30,83,60,是,前处理-A线,IMM-01,OP-106
S0803-00019,2026-08-03,周一,08:29,07-10 早高峰,门诊采血中心,门诊,血清,血液,3,08:48,08:51,09:08,正常,,17,09:12,09:40,71,120,否,前处理-B线,BIO-02,OP-104
S0803-00020,2026-08-03,周一,11:24,10-12,ICU,住院,血浆,生化,17,12:08,12:14,12:20,正常,,6,12:27,13:05,101,90,是,前处理-A线,IMM-02,OP-102
S0803-00021,2026-08-03,周一,10:12,10-12,门诊采血中心,门诊,血清,生化,2,10:35,10:36,11:08,报错,离心异常,32,11:16,12:05,113,120,否,前处理-B线,MICRO-01,OP-103
S0803-00022,2026-08-03,周一,15:33,14-17,儿科门诊采血窗口,门诊,血清,免疫,9,15:52,15:58,16:03,正常,,5,16:07,16:34,61,120,否,前处理-手工台,IMM-02,OP-104
S0803-00023,2026-08-03,周一,13:18,12-14,心内科病区,住院,其他,微生物,3,14:01,14:05,14:14,正常,,9,14:17,17:42,264,120,是,前处理-A线,IMM-01,OP-107
S0803-00024,2026-08-03,周一,15:06,14-17,门诊采血中心,门诊,血清,凝血,6,15:17,15:18,15:23,正常,,5,15:25,15:50,44,120,否,前处理-B线,HEM-02,OP-103
S0803-00025,2026-08-03,周一,14:04,14-17,呼吸科病区,住院,血清,生化,3,14:58,15:00,15:10,正常,,10,15:15,16:09,125,120,是,前处理-A线,IMM-02,OP-106
S0803-00026,2026-08-03,周一,15:01,14-17,呼吸科病区,住院,血清,血液,2,15:45,15:49,15:57,正常,,8,16:00,16:33,92,120,否,前处理-B线,MICRO-01,OP-103
S0803-00027,2026-08-03,周一,10:13,10-12,ICU,住院,血浆,生化,5,10:52,10:54,10:58,正常,,4,11:04,11:54,101,90,是,前处理-手工台,HEM-01,OP-103
S0803-00028,2026-08-03,周一,07:04,07-10 早高峰,消化科病区,住院,血清,免疫,14,07:52,07:54,08:19,正常,,25,08:27,09:14,130,120,是,前处理-手工台,BIO-02,OP-101
S0803-00029,2026-08-03,周一,16:47,14-17,内分泌科病区,住院,血清,血液,6,17:24,17:28,17:35,正常,,7,17:41,18:28,101,120,否,前处理-手工台,IMM-01,OP-103
S0803-00030,2026-08-03,周一,11:18,10-12,儿科门诊采血窗口,门诊,其他,血液,2,11:28,11:30,11:35,正常,,5,11:40,12:18,60,120,否,前处理-A线,BIO-02,OP-106
S0803-00031,2026-08-03,周一,07:51,07-10 早高峰,儿科门诊采血窗口,门诊,血清,免疫,11,08:13,08:16,08:42,正常,,26,08:44,09:22,91,120,否,前处理-A线,IMM-01,OP-107
S0803-00032,2026-08-03,周一,19:06,17-20,儿科门诊采血窗口,门诊,血清,生化,17,19:16,19:21,19:30,正常,,9,19:36,19:58,52,120,否,前处理-手工台,BIO-02,OP-107
S0803-00033,2026-08-03,周一,09:48,07-10 早高峰,门诊采血中心,门诊,血清,凝血,4,10:13,10:15,10:36,正常,,21,10:40,11:00,72,120,否,前处理-B线,COAG-01,OP-108
S0803-00034,2026-08-03,周一,11:31,10-12,急诊采血,急诊,全血,生化,1,11:46,11:49,11:56,正常,,7,12:04,12:53,82,60,是,前处理-B线,COAG-01,OP-101
S0803-00035,2026-08-03,周一,13:56,12-14,心内科病区,住院,血清,生化,14,14:42,14:47,14:54,正常,,7,14:58,15:52,116,120,否,前处理-手工台,HEM-01,OP-105
S0803-00036,2026-08-03,周一,15:07,14-17,心内科病区,住院,血清,生化,18,15:58,16:02,16:09,正常,,7,16:17,16:40,93,120,否,前处理-A线,IMM-02,OP-103
S0803-00037,2026-08-03,周一,14:24,14-17,体检中心,体检,血清,生化,5,14:47,14:49,14:59,正常,,10,15:02,15:47,83,240,否,前处理-B线,HEM-01,OP-102
S0803-00038,2026-08-03,周一,14:49,14-17,消化科病区,住院,血清,微生物,4,15:40,15:42,15:47,正常,,5,15:53,20:15,326,120,是,前处理-B线,BIO-02,OP-104
S0803-00039,2026-08-03,周一,10:23,10-12,心内科病区,住院,血清,生化,14,11:16,11:22,11:26,正常,,4,11:33,12:21,118,120,否,前处理-A线,BIO-01,OP-108
S0803-00040,2026-08-03,周一,07:39,07-10 早高峰,门诊采血中心,门诊,全血,生化,14,08:03,08:08,08:34,正常,,26,08:36,09:19,100,120,否,前处理-B线,IMM-01,OP-106
S0803-00041,2026-08-03,周一,08:11,07-10 早高峰,心内科病区,住院,血清,血液,1,08:50,08:53,09:21,正常,,28,09:25,09:51,100,120,否,前处理-B线,IMM-02,OP-107
S0803-00042,2026-08-03,周一,10:49,10-12,儿科门诊采血窗口,门诊,血清,免疫,18,10:59,11:00,11:05,正常,,5,11:08,11:46,57,120,否,前处理-B线,MICRO-01,OP-102
S0803-00043,2026-08-03,周一,12:56,12-14,门诊采血中心,门诊,血浆,生化,2,13:13,13:14,13:23,正常,,9,13:28,14:09,73,120,否,前处理-B线,MICRO-01,OP-107
S0803-00044,2026-08-03,周一,11:43,10-12,呼吸科病区,住院,血清,生化,1,12:30,12:32,12:39,正常,,7,12:45,13:09,86,120,否,前处理-A线,COAG-01,OP-101
S0803-00045,2026-08-03,周一,08:46,07-10 早高峰,内分泌科病区,住院,血清,免疫,4,09:13,09:18,09:37,正常,,19,09:39,10:06,80,120,否,前处理-B线,HEM-02,OP-102
S0803-00046,2026-08-03,周一,14:09,14-17,门诊采血中心,门诊,全血,生化,6,14:32,14:36,14:41,正常,,5,14:43,15:29,80,120,否,前处理-B线,IMM-02,OP-104
S0803-00047,2026-08-03,周一,15:22,14-17,内分泌科病区,住院,全血,血液,2,16:01,16:02,16:07,正常,,5,16:13,16:56,94,120,否,前处理-A线,COAG-01,OP-102
S0803-00048,2026-08-03,周一,08:01,07-10 早高峰,心内科病区,住院,血清,免疫,14,08:50,08:53,09:19,正常,,26,09:23,10:03,122,120,是,前处理-手工台,BIO-02,OP-104
S0803-00049,2026-08-03,周一,09:36,07-10 早高峰,门诊采血中心,门诊,血清,微生物,4,09:51,09:52,10:10,正常,,18,10:17,12:51,195,120,是,前处理-B线,COAG-01,OP-107
S0803-00050,2026-08-03,周一,09:23,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,4,09:33,09:37,10:01,正常,,24,10:09,10:34,71,120,否,前处理-B线,BIO-01,OP-102
S0803-00051,2026-08-03,周一,13:06,12-14,消化科病区,住院,血清,免疫,3,13:40,13:44,13:54,正常,,10,14:02,14:37,91,120,否,前处理-A线,MICRO-01,OP-104
S0803-00052,2026-08-03,周一,08:37,07-10 早高峰,体检中心,体检,全血,生化,4,08:49,08:53,09:17,正常,,24,09:25,10:19,102,240,否,前处理-B线,BIO-01,OP-108
S0803-00053,2026-08-03,周一,09:41,07-10 早高峰,门诊采血中心,门诊,血清,免疫,15,09:57,09:59,10:22,正常,,23,10:30,11:00,79,120,否,前处理-A线,BIO-01,OP-102
S0803-00054,2026-08-03,周一,08:01,07-10 早高峰,肾内科病区,住院,尿液,微生物,4,08:39,08:40,08:57,正常,,17,09:05,13:38,337,120,是,前处理-手工台,IMM-02,OP-108
S0803-00055,2026-08-03,周一,11:51,10-12,儿科门诊采血窗口,门诊,血浆,血液,3,12:07,12:08,12:12,正常,,4,12:18,12:38,47,120,否,前处理-手工台,COAG-01,OP-108
S0803-00056,2026-08-03,周一,11:20,10-12,儿科门诊采血窗口,门诊,血清,生化,10,11:32,11:35,11:39,正常,,4,11:45,12:33,73,120,否,前处理-B线,IMM-02,OP-101
S0803-00057,2026-08-03,周一,09:58,07-10 早高峰,门诊采血中心,门诊,血清,凝血,4,10:18,10:19,10:41,正常,,22,10:45,11:22,84,120,否,前处理-手工台,BIO-01,OP-106
S0803-00058,2026-08-03,周一,10:05,10-12,心内科病区,住院,血清,生化,7,11:00,11:02,11:07,正常,,5,11:12,11:56,111,120,否,前处理-B线,BIO-01,OP-102
S0803-00059,2026-08-03,周一,08:34,07-10 早高峰,体检中心,体检,血清,血液,4,08:49,08:52,09:13,正常,,21,09:20,09:51,77,240,否,前处理-手工台,BIO-01,OP-106
S0803-00060,2026-08-03,周一,08:31,07-10 早高峰,儿科门诊采血窗口,门诊,血浆,血液,4,08:49,08:51,09:04,正常,,13,09:10,09:38,67,120,否,前处理-手工台,HEM-02,OP-108
S0803-00061,2026-08-03,周一,07:18,07-10 早高峰,门诊采血中心,门诊,血清,免疫,8,07:26,07:29,07:57,正常,,28,08:05,08:29,71,120,否,前处理-B线,IMM-02,OP-105
S0803-00062,2026-08-03,周一,07:28,07-10 早高峰,门诊采血中心,门诊,血清,生化,10,07:53,07:57,08:11,正常,,14,08:17,08:54,86,120,否,前处理-B线,BIO-02,OP-108
S0803-00063,2026-08-03,周一,08:39,07-10 早高峰,心内科病区,住院,全血,血液,3,09:27,09:31,09:49,正常,,18,09:56,10:45,126,120,是,前处理-B线,COAG-01,OP-106
S0803-00064,2026-08-03,周一,10:24,10-12,体检中心,体检,血清,免疫,15,10:46,10:48,10:55,正常,,7,10:57,11:49,85,240,否,前处理-手工台,IMM-02,OP-104
S0803-00065,2026-08-03,周一,18:21,17-20,体检中心,体检,全血,凝血,5,18:34,18:35,18:45,正常,,10,18:51,19:31,70,240,否,前处理-A线,BIO-01,OP-103
S0803-00066,2026-08-03,周一,11:39,10-12,心内科病区,住院,血清,免疫,11,12:27,12:28,12:37,正常,,9,12:42,13:35,116,120,否,前处理-A线,HEM-01,OP-106
S0803-00067,2026-08-03,周一,08:51,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,3,09:11,09:14,09:37,正常,,23,09:43,10:14,83,120,否,前处理-A线,HEM-01,OP-102
S0803-00068,2026-08-03,周一,15:19,14-17,门诊采血中心,门诊,血浆,微生物,5,15:43,15:48,15:55,正常,,7,15:59,20:57,338,120,是,前处理-A线,HEM-02,OP-101
S0803-00069,2026-08-03,周一,08:50,07-10 早高峰,消化科病区,住院,全血,凝血,3,09:27,09:29,09:57,正常,,28,10:05,10:32,102,120,否,前处理-B线,HEM-01,OP-105
S0803-00070,2026-08-03,周一,09:30,07-10 早高峰,内分泌科病区,住院,血清,生化,4,09:57,10:00,10:22,正常,,22,10:27,10:55,85,120,否,前处理-B线,IMM-01,OP-102
S0803-00071,2026-08-03,周一,07:06,07-10 早高峰,呼吸科病区,住院,血清,血液,5,07:55,07:56,08:15,正常,,19,08:17,08:45,99,120,否,前处理-手工台,HEM-02,OP-102
S0803-00072,2026-08-03,周一,18:11,17-20,ICU,住院,全血,生化,17,18:43,18:47,18:57,正常,,10,19:02,19:54,103,90,是,前处理-B线,HEM-02,OP-103
S0803-00073,2026-08-03,周一,09:40,07-10 早高峰,儿科门诊采血窗口,门诊,血清,免疫,14,09:58,09:59,10:20,正常,,21,10:26,10:53,73,120,否,前处理-A线,IMM-02,OP-107
S0803-00074,2026-08-03,周一,07:12,07-10 早高峰,急诊采血,急诊,血清,生化,1,07:30,07:34,07:51,正常,,17,07:59,08:21,69,60,是,前处理-B线,HEM-01,OP-102
S0803-00075,2026-08-03,周一,16:06,14-17,门诊采血中心,门诊,全血,生化,17,16:21,16:22,16:30,正常,,8,16:36,17:28,82,120,否,前处理-B线,HEM-02,OP-102
S0803-00076,2026-08-03,周一,19:05,17-20,门诊采血中心,门诊,血清,免疫,8,19:29,19:30,19:39,正常,,9,19:45,20:30,85,120,否,前处理-手工台,BIO-01,OP-102
S0803-00077,2026-08-03,周一,18:37,17-20,门诊采血中心,门诊,血清,生化,1,18:57,19:03,19:07,正常,,4,19:12,19:36,59,120,否,前处理-A线,IMM-02,OP-108
S0803-00078,2026-08-03,周一,16:29,14-17,ICU,住院,血清,生化,1,17:07,17:13,17:20,正常,,7,17:25,17:48,79,90,否,前处理-B线,IMM-01,OP-102
S0803-00079,2026-08-03,周一,07:02,07-10 早高峰,急诊采血,急诊,血清,免疫,4,07:26,07:31,07:51,正常,,20,07:59,08:29,87,60,是,前处理-A线,MICRO-01,OP-102
S0803-00080,2026-08-03,周一,11:10,10-12,消化科病区,住院,血清,免疫,6,11:34,11:37,11:43,正常,,6,11:46,12:16,66,120,否,前处理-A线,MICRO-01,OP-104
S0803-00081,2026-08-03,周一,14:48,14-17,ICU,住院,全血,免疫,17,15:35,15:36,15:45,正常,,9,15:51,16:41,113,90,是,前处理-手工台,BIO-02,OP-106
S0803-00082,2026-08-03,周一,11:10,10-12,心内科病区,住院,血清,免疫,1,11:50,11:51,11:55,正常,,4,12:01,12:31,81,120,否,前处理-手工台,BIO-02,OP-105
S0803-00083,2026-08-03,周一,16:39,14-17,门诊采血中心,门诊,全血,血液,4,17:03,17:04,17:14,正常,,10,17:16,18:11,92,120,否,前处理-B线,BIO-01,OP-108
S0803-00084,2026-08-03,周一,16:35,14-17,急诊采血,急诊,血清,生化,6,16:47,16:49,16:58,正常,,9,17:02,17:50,75,60,是,前处理-B线,BIO-02,OP-105
S0803-00085,2026-08-03,周一,07:18,07-10 早高峰,消化科病区,住院,血浆,免疫,14,07:56,08:00,08:20,正常,,20,08:23,09:13,115,120,否,前处理-B线,MICRO-01,OP-106
S0803-00086,2026-08-03,周一,07:37,07-10 早高峰,消化科病区,住院,血清,生化,7,07:58,08:04,08:24,正常,,20,08:28,09:15,98,120,否,前处理-A线,BIO-02,OP-107
S0803-00087,2026-08-03,周一,09:49,07-10 早高峰,门诊采血中心,门诊,血清,免疫,6,10:02,10:04,10:31,正常,,27,10:33,11:06,77,120,否,前处理-A线,IMM-01,OP-104
S0803-00088,2026-08-03,周一,12:22,12-14,急诊采血,急诊,血清,血液,2,12:42,12:48,12:55,正常,,7,12:58,13:52,90,60,是,前处理-手工台,BIO-01,OP-108
S0803-00089,2026-08-03,周一,14:17,14-17,儿科门诊采血窗口,门诊,尿液,生化,12,14:31,14:34,14:43,正常,,9,14:46,15:34,77,120,否,前处理-手工台,MICRO-01,OP-105
S0803-00090,2026-08-03,周一,09:11,07-10 早高峰,心内科病区,住院,全血,血液,1,09:41,09:46,10:11,正常,,25,10:18,10:56,105,120,否,前处理-A线,IMM-01,OP-102
S0803-00091,2026-08-03,周一,13:52,12-14,体检中心,体检,血清,血液,6,14:03,14:07,14:17,正常,,10,14:20,15:14,82,240,否,前处理-A线,HEM-02,OP-106
S0803-00092,2026-08-03,周一,08:03,07-10 早高峰,门诊采血中心,门诊,全血,微生物,1,08:24,08:25,08:58,报错,离心异常,33,09:02,13:58,355,120,是,前处理-手工台,IMM-02,OP-108
S0803-00093,2026-08-03,周一,07:09,07-10 早高峰,内分泌科病区,住院,血清,生化,4,07:54,07:59,08:21,正常,,22,08:26,09:07,118,120,否,前处理-手工台,BIO-02,OP-102
S0803-00094,2026-08-03,周一,10:18,10-12,儿科门诊采血窗口,门诊,全血,免疫,15,10:39,10:45,10:54,正常,,9,10:57,11:18,60,120,否,前处理-手工台,IMM-01,OP-103
S0803-00095,2026-08-03,周一,12:16,12-14,心内科病区,住院,血清,微生物,4,12:46,12:49,12:56,正常,,7,13:03,16:01,225,120,是,前处理-B线,HEM-01,OP-104
S0803-00096,2026-08-03,周一,10:20,10-12,ICU,住院,血浆,生化,2,11:03,11:07,11:11,正常,,4,11:15,11:43,83,90,否,前处理-B线,BIO-01,OP-103
S0803-00097,2026-08-03,周一,11:39,10-12,体检中心,体检,尿液,生化,14,11:49,11:51,11:55,正常,,4,12:03,12:31,52,240,否,前处理-A线,HEM-01,OP-106
S0803-00098,2026-08-03,周一,08:31,07-10 早高峰,门诊采血中心,门诊,血清,生化,17,08:53,08:58,09:28,正常,,30,09:33,09:56,85,120,否,前处理-手工台,BIO-02,OP-106
S0803-00099,2026-08-03,周一,09:46,07-10 早高峰,体检中心,体检,血清,免疫,17,09:57,10:01,10:31,正常,,30,10:34,11:10,84,240,否,前处理-手工台,HEM-01,OP-104
S0803-00100,2026-08-03,周一,13:33,12-14,心内科病区,住院,血清,凝血,1,14:07,14:09,14:15,正常,,6,14:18,14:56,83,120,否,前处理-B线,MICRO-01,OP-101
S0803-00101,2026-08-03,周一,11:48,10-12,门诊采血中心,门诊,血清,血液,1,12:08,12:14,12:21,正常,,7,12:27,13:15,87,120,否,前处理-B线,COAG-01,OP-101
S0803-00102,2026-08-03,周一,16:32,14-17,肾内科病区,住院,全血,生化,15,16:52,16:55,16:59,正常,,4,17:05,17:54,82,120,否,前处理-A线,HEM-01,OP-104
S0803-00103,2026-08-03,周一,09:58,07-10 早高峰,心内科病区,住院,全血,生化,1,10:24,10:30,10:48,正常,,18,10:53,11:47,109,120,否,前处理-手工台,HEM-01,OP-107
S0803-00104,2026-08-03,周一,09:45,07-10 早高峰,呼吸科病区,住院,血浆,血液,5,10:29,10:34,10:52,正常,,18,10:56,11:27,102,120,否,前处理-A线,BIO-01,OP-106
S0803-00105,2026-08-03,周一,17:27,17-20,急诊采血,急诊,血清,微生物,3,17:49,17:50,17:59,正常,,9,18:07,23:06,339,60,是,前处理-手工台,COAG-01,OP-101
S0803-00106,2026-08-03,周一,13:30,12-14,门诊采血中心,门诊,血清,凝血,3,13:54,13:55,14:03,正常,,8,14:10,14:56,86,120,否,前处理-A线,BIO-02,OP-107
S0803-00107,2026-08-03,周一,07:52,07-10 早高峰,门诊采血中心,门诊,全血,血液,6,08:08,08:14,08:36,正常,,22,08:43,09:14,82,120,否,前处理-手工台,IMM-01,OP-104
S0803-00108,2026-08-03,周一,16:28,14-17,儿科门诊采血窗口,门诊,血清,生化,2,16:44,16:50,16:54,正常,,4,16:56,17:40,72,120,否,前处理-B线,IMM-02,OP-102
S0803-00109,2026-08-03,周一,07:58,07-10 早高峰,消化科病区,住院,血清,生化,7,08:22,08:23,08:43,正常,,20,08:47,09:21,83,120,否,前处理-手工台,MICRO-01,OP-108
S0803-00110,2026-08-03,周一,15:02,14-17,儿科门诊采血窗口,门诊,血清,血液,5,15:20,15:25,15:31,正常,,6,15:36,16:18,76,120,否,前处理-手工台,COAG-01,OP-101
S0803-00111,2026-08-03,周一,08:19,07-10 早高峰,儿科门诊采血窗口,门诊,血清,血液,6,08:30,08:31,08:53,正常,,22,08:59,09:47,88,120,否,前处理-A线,COAG-01,OP-101
S0803-00112,2026-08-03,周一,09:38,07-10 早高峰,呼吸科病区,住院,血浆,生化,11,10:27,10:31,10:51,正常,,20,10:55,11:22,104,120,否,前处理-A线,IMM-02,OP-107
S0803-00113,2026-08-03,周一,11:07,10-12,儿科门诊采血窗口,门诊,血清,免疫,15,11:20,11:22,11:27,正常,,5,11:30,12:13,66,120,否,前处理-B线,BIO-02,OP-107
S0803-00114,2026-08-03,周一,13:48,12-14,门诊采血中心,门诊,血浆,生化,17,14:01,14:02,14:10,正常,,8,14:14,14:46,58,120,否,前处理-手工台,HEM-01,OP-105
S0803-00115,2026-08-03,周一,18:44,17-20,体检中心,体检,其他,生化,11,19:05,19:08,19:18,正常,,10,19:24,20:19,95,240,否,前处理-B线,HEM-02,OP-101
S0803-00116,2026-08-03,周一,11:57,10-12,门诊采血中心,门诊,全血,凝血,5,12:20,12:24,12:33,正常,,9,12:38,13:33,96,120,否,前处理-B线,COAG-01,OP-104
S0803-00117,2026-08-03,周一,10:28,10-12,门诊采血中心,门诊,全血,生化,6,10:51,10:53,11:03,正常,,10,11:07,11:51,83,120,否,前处理-手工台,HEM-02,OP-107
S0803-00118,2026-08-03,周一,10:39,10-12,肾内科病区,住院,血清,免疫,3,11:08,11:09,11:18,正常,,9,11:20,11:49,70,120,否,前处理-B线,BIO-02,OP-101
S0803-00119,2026-08-03,周一,11:39,10-12,内分泌科病区,住院,尿液,血液,5,12:33,12:37,12:45,正常,,8,12:50,13:43,124,120,是,前处理-A线,HEM-02,OP-102
S0803-00120,2026-08-03,周一,07:47,07-10 早高峰,急诊采血,急诊,尿液,血液,6,08:04,08:08,08:27,正常,,19,08:30,09:05,78,60,是,前处理-A线,COAG-01,OP-106
S0803-00121,2026-08-03,周一,15:28,14-17,门诊采血中心,门诊,血浆,免疫,15,15:40,15:44,15:51,正常,,7,15:58,16:45,77,120,否,前处理-A线,BIO-01,OP-105
S0803-00122,2026-08-03,周一,09:45,07-10 早高峰,心内科病区,住院,血清,生化,5,10:16,10:17,10:38,正常,,21,10:40,11:08,83,120,否,前处理-手工台,BIO-02,OP-106
S0803-00123,2026-08-03,周一,14:47,14-17,肾内科病区,住院,血清,免疫,15,15:07,15:10,15:14,正常,,4,15:17,15:42,55,120,否,前处理-手工台,BIO-02,OP-105
S0803-00124,2026-08-03,周一,16:42,14-17,急诊采血,急诊,血清,生化,15,16:58,16:59,17:08,正常,,9,17:15,17:38,56,60,否,前处理-A线,IMM-01,OP-107
S0803-00125,2026-08-03,周一,10:10,10-12,急诊采血,急诊,血清,免疫,2,10:25,10:29,10:38,正常,,9,10:43,11:28,78,60,是,前处理-手工台,MICRO-01,OP-104
S0803-00126,2026-08-03,周一,09:23,07-10 早高峰,急诊采血,急诊,全血,免疫,9,09:33,09:35,09:59,正常,,24,10:06,10:47,84,60,是,前处理-A线,BIO-02,OP-102
S0803-00127,2026-08-03,周一,07:45,07-10 早高峰,肾内科病区,住院,全血,免疫,8,08:15,08:18,08:45,正常,,27,08:51,09:37,112,120,否,前处理-A线,IMM-01,OP-102
S0803-00128,2026-08-03,周一,15:46,14-17,内分泌科病区,住院,全血,生化,7,16:11,16:14,16:20,正常,,6,16:25,17:11,85,120,否,前处理-B线,MICRO-01,OP-101
S0803-00129,2026-08-03,周一,07:10,07-10 早高峰,消化科病区,住院,全血,血液,3,07:31,07:33,07:54,正常,,21,08:01,08:25,75,120,否,前处理-B线,MICRO-01,OP-102
S0803-00130,2026-08-03,周一,08:44,07-10 早高峰,呼吸科病区,住院,全血,生化,18,09:25,09:28,09:54,正常,,26,10:01,10:31,107,120,否,前处理-B线,BIO-02,OP-102
S0803-00131,2026-08-03,周一,07:35,07-10 早高峰,消化科病区,住院,全血,免疫,18,08:03,08:07,08:31,正常,,24,08:38,09:18,103,120,否,前处理-B线,MICRO-01,OP-102
S0803-00132,2026-08-03,周一,09:47,07-10 早高峰,心内科病区,住院,血清,生化,4,10:38,10:41,10:55,正常,,14,11:00,11:46,119,120,否,前处理-手工台,COAG-01,OP-101
S0803-00133,2026-08-03,周一,14:36,14-17,内分泌科病区,住院,血清,免疫,16,15:06,15:11,15:21,正常,,10,15:26,15:57,81,120,否,前处理-手工台,HEM-01,OP-101
S0803-00134,2026-08-03,周一,07:49,07-10 早高峰,ICU,住院,全血,生化,16,08:30,08:36,08:57,正常,,21,08:59,09:20,91,90,是,前处理-手工台,HEM-01,OP-108
S0803-00135,2026-08-03,周一,11:36,10-12,门诊采血中心,门诊,血浆,生化,3,11:49,11:55,11:59,正常,,4,12:02,12:42,66,120,否,前处理-B线,HEM-02,OP-107
S0803-00136,2026-08-03,周一,14:15,14-17,肾内科病区,住院,血清,血液,5,15:00,15:04,15:10,正常,,6,15:18,15:52,97,120,否,前处理-B线,HEM-02,OP-101
S0803-00137,2026-08-03,周一,13:16,12-14,门诊采血中心,门诊,全血,生化,16,13:25,13:30,13:40,正常,,10,13:44,14:20,64,120,否,前处理-A线,MICRO-01,OP-108
S0803-00138,2026-08-03,周一,07:08,07-10 早高峰,心内科病区,住院,血清,生化,4,07:44,07:47,08:13,正常,,26,08:16,08:51,103,120,否,前处理-A线,HEM-01,OP-106
S0803-00139,2026-08-03,周一,08:27,07-10 早高峰,门诊采血中心,门诊,血清,血液,3,08:38,08:40,08:57,正常,,17,09:04,09:24,57,120,否,前处理-B线,IMM-02,OP-107
S0803-00140,2026-08-03,周一,16:03,14-17,心内科病区,住院,血清,免疫,17,16:32,16:34,16:44,正常,,10,16:49,17:36,93,120,否,前处理-B线,HEM-02,OP-103
S0803-00141,2026-08-03,周一,08:41,07-10 早高峰,体检中心,体检,血清,免疫,2,09:05,09:08,09:27,正常,,19,09:34,10:05,84,240,否,前处理-手工台,COAG-01,OP-107
